city,district,address,latitude,longitude,latitude_gps,longitude_gps,community,avg_area,total_units,unit_price
武汉市,武昌,武昌-中北路-中北路,30.572991277185,114.35677961681,30.5690330397027,114.344866130514,水果湖街青鱼嘴社区,90,320,20010
武汉市,武昌,武昌-中北路-中北路,30.575697986357,114.35954379269,30.5717131593121,114.34763201364,电车宿舍,90,250,21100
武汉市,武昌,武昌-中北路-中北路,30.5561411632342,114.331906390375,30.5561411632342,114.331906390375,安顺家园,130,1765,30031
武汉市,武昌,武昌-中北路-中北路101号,30.557796,114.344452,30.5540241933947,114.332507887537,海山金谷,96,436,19080
武汉市,武昌,武昌-中北路-中北路115号,30.561858,114.346133,30.5580554052877,114.3341961409,安顺星苑,86,659,23470
武汉市,武昌,武昌-中北路-中北路122号,30.568368140038,114.36168589201,30.5643703507809,114.349773414658,伟鹏苑,160,396,21220
武汉市,武昌,武昌-中北路-中北路122号,30.570360283677,114.35905080263,30.5663812517386,114.347138455374,天源城,130,700,20314
武汉市,武昌,武昌-中北路-中北路126号,30.569037,114.364924,30.5650242045,114.3530100994,锦绣江南,200,3520,21809
武汉市,武昌,武昌-中北路-中北路129-7号,30.565255,114.350454,30.5613806562356,114.338529016704,九天公寓,78,230,23019
武汉市,武昌,武昌-中北路-中北路130号,30.572919,114.360665,30.5689266341318,114.348753436993,中北春天,95,140,21000
武汉市,武昌,武昌-中北路-中北路131号,30.561941335298,114.34835279248,30.5581009029559,114.336421477214,同成富苑,104,520,24230
武汉市,武昌,武昌-中北路-中北路132号,30.571974,114.361008,30.5679795630118,114.349096355972,锦绣中北,125,320,26500
武汉市,武昌,武昌-中北路-中北路135号,30.564924,114.349863,30.5610588159175,114.337936637373,广厦中北领秀,59,250,24309
武汉市,武昌,武昌-中北路-中北路148号,30.571197,114.358404,30.5672234185,114.3464914882,东沙大厦,74,260,20800
武汉市,武昌,武昌-中北路-中北路149号,30.56484876927,114.35302299299,30.5609376892219,114.34110250497,楚汉新居,68,892,24500
武汉市,武昌,武昌-中北路-中北路151号,30.578685,114.361692,30.5746837940982,114.349779981347,世纪彩城,120,3395,21000
武汉市,武昌,武昌-中北路-公正路29号(湖北省国土资源厅旁),30.5596012076302,114.327611764267,30.5596012076302,114.327611764267,沙湖九号,180,2000,42000
武汉市,武昌,武昌-中北路-中北路160-1号,30.580216,114.366261,30.5761961591987,114.354345603059,武重明珠苑,85,450,14953
武汉市,武昌,武昌-中北路-中北路171号,30.56473,114.346541,30.5609197323561,114.334606739034,万达御湖壹号,240,1257,41113
武汉市,武昌,武昌-中北路-中北路171号,30.564875,114.347714,30.5610446394806,114.335782729844,汉街壹号公馆,240,1932,36700
武汉市,武昌,武昌-中北路-中北路213号,30.571844,114.356342,30.5678907832302,114.34442798243,新安金沙豪庭,300,300,23080
武汉市,武昌,武昌-中北路-中北路230号,30.57865,114.364288,30.5746361374596,114.35237487465,楚天都市雅园,80,400,21200
武汉市,武昌,武昌-中北路-中北路24号,30.56072,114.349383,30.5568631193072,114.337453263074,龙源国际广场,130,280,23100
武汉市,武昌,武昌-中北路-中北路253号,30.577110192711,114.35868537195,30.5731320999295,114.34677308597,白玫瑰花苑,90,320,23400
武汉市,武昌,武昌-中北路-中北路257号,30.575126039983,114.36007325396,30.5711372692957,114.348161647607,爱尚东亭,80,205,12080
武汉市,武昌,武昌-中北路-中北路滨湖村2号,30.573648,114.361137,30.5696521717341,114.34922549505,九通商厦,80,95,13400
武汉市,武昌,武昌-中北路-公正路,30.559936,114.32654,30.5565076247753,114.314543852855,新长江香榭东沙,120,350,32300
武汉市,武昌,武昌-中北路-公正路,30.561468,114.341455,30.5577520513,114.3295046681,融创中心武汉壹号院,210,3225,42000
武汉市,武昌,武昌-中北路-公正路33号,30.562938295217,114.3414674604,30.5592218512876,114.329518021058,沙湖公寓,90,450,25800
