"address","area","city","community_name","floor","listing_title","municipal_district","orientation","price","province","rooms","unit_price","url","year","address_region"
"白沙洲-旭辉江山境","173㎡","武汉","旭辉江山境","（共6层）","武昌滨江现房 旭辉品质大平层270度看江 180观景阳台精装",NA,"南北向","270万",NA,"4室2厅","15606元/㎡","https://wuhan.esf.fang.com/chushou/3_199212856.htm","2006年建","白沙洲"
"白沙洲-青菱新城","83㎡","武汉","武汉卓越城","（共32层）","新房:95平三房+南北通透边户+单价低+首付低+入住洪山主城",NA,"南北向","69.2万",NA,"3室2厅","8337元/㎡","https://wuhan.esf.fang.com/chushou/3_199422778.htm","","白沙洲"
"白沙洲-旭辉江山境","173㎡","武汉","旭辉江山境","（共6层）","现有特价房,现房,四开间朝南,通风效果更佳,看江观湖 收藏",NA,"南北向","236.2万",NA,"4室2厅","13653元/㎡","https://wuhan.esf.fang.com/chushou/3_199197012.htm","2019年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","125㎡","武汉","万科新都会","（共34层）","精选好房:万科新都会二环125㎡精装三房价值洼地成熟配套",NA,"南北向","300万",NA,"3室2厅","24000元/㎡","https://wuhan.esf.fang.com/chushou/3_199058975.htm","2019年建","南湖花园"
"南湖花园-丁字桥路与岭南路交汇处","125.2㎡","武汉","万科新都会","（共32层）","新房:万科精装修+丁字桥+武昌内环+理工旁+配套齐全+可接宋",NA,"南北向","312.5万",NA,"3室2厅","24960元/㎡","https://wuhan.esf.fang.com/chushou/3_199391524.htm","","南湖花园"
"中北路-中北路118号(原武重厂区)","101.39㎡","武汉","复地东湖国际","（共32层）","此房满两年 小三房 明厨明卫 高楼层 采光充足",NA,"东北向","488万",NA,"3室1厅","48130元/㎡","https://wuhan.esf.fang.com/chushou/3_198647885.htm","2010年建","中北路"
"徐东-保利城","111㎡","武汉","保利城","（共34层）","开发商直签75-128平 单价2W 内环豪宅保利城七期 毛坯",NA,"南北向","212万",NA,"3室2厅","19099元/㎡","https://wuhan.esf.fang.com/chushou/3_199433246.htm","2021年建","徐东"
"白沙洲-万科城市之光","117㎡","武汉","万科城市之光","（共34层）","必看新房:万科洪山广场商业117㎡精装三房边户通透自带學校",NA,"南北向","215万",NA,"3室2厅","18376元/㎡","https://wuhan.esf.fang.com/chushou/3_199056128.htm","","白沙洲"
"南湖花园-南湖路(长虹中学旁)","105㎡","武汉","新力雅园","（共32层）","新房:朝南精装修+方正户型+武昌二环精装修+地鉄口+特惠房源",NA,"南北向","178万",NA,"3室2厅","16952元/㎡","https://wuhan.esf.fang.com/chushou/3_199491695.htm","","南湖花园"
"南湖花园-南湖路(长虹中学旁)","103㎡","武汉","新力雅园","（共6层）","武昌二环 建安街正口 新力雅园1.7万起倒挂周边二手5千",NA,"南向","175万",NA,"3室2厅","16990元/㎡","https://wuhan.esf.fang.com/chushou/3_199491692.htm","2006年建","南湖花园"
"白沙洲-白沙洲大道与园艺二路交汇处","160㎡","武汉","和雅东方","（共3层）","武昌三环口首付74万入住一线湖景别墅 送和花园",NA,"南向","300万",NA,"4室2厅","18750元/㎡","https://wuhan.esf.fang.com/chushou/3_199513369.htm","2022年建","白沙洲"
"白沙洲-青菱大道与杨林二路交会处","112.56㎡","武汉","大华公园城市","（共18层）","精装+小高层+不限够+首付2成+洪山主城区准现房+华师旁",NA,"南北向","115万",NA,"4室2厅","10216元/㎡","https://wuhan.esf.fang.com/chushou/3_199361259.htm","2021年建","白沙洲"
"徐东-杨园南路与北洋桥路交汇处","150㎡","武汉","朗诗熙华府","（共6层）","钢旅蓝郡武昌1.5环低密度洋房102-142平单价19500",NA,"南北向","300万",NA,"4室2厅","20000元/㎡","https://wuhan.esf.fang.com/chushou/3_199308448.htm","2006年建","徐东"
"白沙洲-白沙洲大道与园艺二路交汇处","115㎡","武汉","和雅东方","（共32层）","和雅东方 紧凑小三居 考虑白沙洲的你推荐看看,近",NA,"南北向","155万",NA,"3室2厅","13478元/㎡","https://wuhan.esf.fang.com/chushou/3_199240064.htm","2021年建","白沙洲"
"白沙洲-武昌南青菱西岸南郊路与杨林三路交汇处","96.8㎡","武汉","万科保利理想城市","（共32层）","首付30万起,小户型,洪山区主城区,万科物业,带华师!",NA,"南北向","113万",NA,"3室2厅","11673元/㎡","https://wuhan.esf.fang.com/chushou/3_199213217.htm","2021年建","白沙洲"
"白沙洲-青菱新城","82.3㎡","武汉","武汉卓越城","（共32层）","新房:卓越城82平精致三房+特惠房源+单价低+低首付+环境好",NA,"南北向","69.1万",NA,"3室2厅","8396元/㎡","https://wuhan.esf.fang.com/chushou/3_199396027.htm","","白沙洲"
"徐东-保利城","75㎡","武汉","保利城","（共29层）","实际1万8!3梯6户保利城,带5人制足球场,双地鉄内环武昌",NA,"南向","145万",NA,"2室2厅","19333元/㎡","https://wuhan.esf.fang.com/chushou/3_199344314.htm","2022年建","徐东"
"白沙洲-洪山区白沙洲大道与八坦路交叉路口","111.98㎡","武汉","中建铂公馆","（共33层）","央企中建准现房!共享龙湖天街,2环白沙之心,毛坯3室",NA,"南北向","170万",NA,"3室2厅","15181元/㎡","https://wuhan.esf.fang.com/chushou/3_199316279.htm","2022年建","白沙洲"
"白沙洲-青菱街丽水路与南郊路交汇处","123㎡","武汉","美好长江首玺","（共33层）","保价!白沙洲3环长江边,美好长江首玺准现房!双學区",NA,"南北向","141万",NA,"3室2厅","11463元/㎡","https://wuhan.esf.fang.com/chushou/3_199314876.htm","2022年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","126㎡","武汉","万科新都会","（共6层）","二环核心地段 万科新都会 自带商业 精装品质 全龄是教育",NA,"南向","281万",NA,"3室2厅","22301元/㎡","https://wuhan.esf.fang.com/chushou/3_199258396.htm","2021年建","南湖花园"
"白沙洲-青菱新城","83.6㎡","武汉","武汉卓越城","（共18层）","新房:83平毛坯三房+洪山主城区区住宅+低首付+环境好",NA,"南北向","70.5万",NA,"3室2厅","8433元/㎡","https://wuhan.esf.fang.com/chushou/3_199396021.htm","","白沙洲"
"白沙洲-旭辉江山境","173.44㎡","武汉","旭辉江山境","（共55层）","一线临江+270度全景看江+170度观江大阳台+精装修现房",NA,"南北向","256万",NA,"4室2厅","14760元/㎡","https://wuhan.esf.fang.com/chushou/3_199481597.htm","2022年建","白沙洲"
"南湖花园-南湖路(长虹中学旁)","121㎡","武汉","新力雅园","（共32层）","新力雅园 二环内,双地铁口 车位商业配套齐全 全程免费看房",NA,"南北向","200万",NA,"3室2厅","16528元/㎡","https://wuhan.esf.fang.com/chushou/3_199244699.htm","2021年建","南湖花园"
"南湖花园-南湖路(长虹中学旁)","103㎡","武汉","新力雅园","（共6层）","武昌二环 建安街正口 新力雅园1.7万起倒挂周边二手5千",NA,"南向","175万",NA,"3室2厅","16990元/㎡","https://wuhan.esf.fang.com/chushou/3_199491711.htm","2006年建","南湖花园"
